Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price,Effective Year,Price Per Sq Meter,Property History Count,EPC Category
"Bristol, City of",7/1/2022,10315,Industrial/Workshop,Big Yellow Self Storage,Big Yellow Self Storage Barrow Road Barton Hill Bristol BS5 0AE,,Barrow Road,Bristol,BS5 0AE,Lawrence Hill,360524,173023,Freehold,,Land And Building(S),222,0.587545,,Investment Properties,,,"Storage Space, Security System","2016, 2020, 2021, 2025",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,1990,Offices,Castlemead,Castlemead Lower Castle Street City Centre Bristol BS1 3AG,,Lower Castle Street,Bristol,BS1 3AG,Central,359427,173277,Freehold,,Land And Building(S),13500,0.165689,,Investment Properties,C,1400,"Meeting Rooms, Modern Kitchen","2010, 2011, 2012, 2015, 2016, 2021",3749001.48,,2022,277.7038133,6,Medium
"Bristol, City of",7/1/2022,116289,Offices,Fishponds Health Centre,Fishponds Health Centre Beechwood Road Fishponds Bristol BS16 3TD,,Beechwood Road,Bristol,BS16 3TD,Frome Vale,363511,175802,Informal Agreement,,Building(S) Only,222,0.000313,Yes,Direct Service,,,"Meeting Rooms, Modern Kitchen","2012, 2013, 2016, 2021, 2023",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,1931,Land-Industrial,Albert Crescent - Land At,Albert Crescent - Land At St Philips Bristol,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360475,172230,Freehold,,Land Only,222,0.141707,,Indirect Service / Non-Investment Letting(s),,,"Development Potential, Open Land","2015, 2016, 2019, 2021, 2022",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,1941,Land-Car/Lorry Park,Brislington Park And Ride Site,Brislington Park And Ride Site Bath Road Brislington Bristol BS14 5LR,,Stockwood Road,Bristol,BS4 5ZZ,Brislington West,362757,170016,Freehold,,Land And Building(S),147,5.270843,Yes,Direct Service,G,2200,,"2011, 2014, 2016, 2019, 2021",291200,,2022,1980.952381,5,Low
"Bristol, City of",7/1/2022,1898,Primary School,St George C Of E VC Primary School Annexe,St George C Of E VC Primary School Annexe York Place City Centre Bristol BS1 5UT,,Queens Parade,Bristol,BS1 5XH,Hotwells & Harbourside,358040,172694,Education Acts Agt,,Building(S) Only,222,0,Yes,Direct Service,,,,"2010, 2016, 2018, 2020, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,84098,Day Nursery,Thicket Avenue - Community Nursery,Thicket Avenue - Community Nursery Thicket Avenue Fishponds Bristol BS16 4EH,,Thicket Avenue,Bristol,BS16 4EH,Hillfields,364000,175225,Freehold,,Land Only,222,0.092959,,Indirect Service / Non-Investment Letting(s),,,,"2015, 2016, 2017, 2021, 2022, 2023",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,1007,Childrens Homes,2 Witch Hazel Road,2 Witch Hazel Road Hartcliffe Bristol BS13 0QE,2,Witch Hazel Road,Bristol,BS13 0QE,Hengrove & Whitchurch Park,359212,167321,Freehold,,Land And Building(S),234,0.069034,Yes,Direct Service,G,2200,,"2011, 2012, 2016, 2021, 2025",291200,,2022,1244.444444,5,Low
"Bristol, City of",7/1/2022,1008,Primary School,Bridge Farm Primary School,Bridge Farm Primary School East Dundry Road Whitchurch Bristol BS14 0LL,,East Dundry Road,Bristol,BS14 0LL,Hengrove & Whitchurch Park,360395,167559,Freehold,,Land And Building(S),3582.7,2.350949,Yes,Direct Service,F,2000,,"2010, 2012, 2014, 2016, 2021",840113.41,,2022,234.491699,5,Low
"Bristol, City of",7/1/2022,936,Youth Club/Centre,Hartcliffe Club For Young People,Hartcliffe Club For Young People Gatehouse Avenue Hartcliffe Bristol BS13 9AE,,Gatehouse Avenue,Bristol,BS13 9AE,Hartcliffe & Withywood,357459,168180,Leasehold,,Building(S) Only,158.6,0.21672,,Indirect Service / Non-Investment Letting(s),G,2200,,"2010, 2014, 2016, 2021",291200,,2022,1836.065574,4,Low
"Bristol, City of",7/1/2022,937,Primary School,St Pius X RC VA Primary School - School Buildings,St Pius X RC VA Primary School - School Buildings Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100,168096,Education Acts Agt,,Building(S) Only,1495,0.563277,Yes,Direct Service,F,2000,,"2011, 2012, 2016, 2019, 2021, 2024",479618.19,,2022,320.8148428,6,Low
"Bristol, City of",7/1/2022,938,House/Houses,St Pius X RC VA Primary School House,St Pius X RC VA Primary School House Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100,168096,Education Acts Agt,,Land And Building(S),222,0.044093,Yes,Direct Service,,,,"2013, 2016, 2021, 2023, 2025",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,940,Special School,Whitehouse Centre,Whitehouse Centre Fulford Road Hartcliffe Bristol BS13 9PB,,Fulford Road,Bristol,BS13 9PB,Hartcliffe & Withywood,358105,168019,Freehold,,Land And Building(S),2076.3,2.556539,,Surplus / Non-operational / Under Review,G,2200,,"2012, 2014, 2016, 2021, 2023, 2024",450642.99,,2022,217.0413669,6,Low
"Bristol, City of",7/1/2022,941,Land-Unused Land,Former Fulford Centre,Former Fulford Centre Fulford Road Hartcliffe Bristol BS13 9PB,,,,BS13 ,Hartcliffe & Withywood,358140,168000,Freehold,Vacant,Land Only,0,0.65335,,Surplus / Non-operational / Under Review,E,1800,,"2014, 2015, 2016, 2017, 2021",291200,,2022,0,5,Low
"Bristol, City of",7/1/2022,945,Community Centre/Facilities,Hengrove Community Centre,Hengrove Community Centre Fortfield Road Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove & Whitchurch Park,360710,168749,Freehold,,Land And Building(S),428.98,0.151302,,Indirect Service / Non-Investment Letting(s),G,2200,,"2010, 2011, 2016, 2021, 2022, 2024",291200,,2022,678.8195254,6,Low
"Bristol, City of",7/1/2022,946,Community Centre/Facilities,Fortfield Road - Former Youth Centre Building,Fortfield Road - Former Youth Centre Building Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove & Whitchurch Park,360721,168781,Freehold,,Land And Building(S),277.1,0.083884,,Indirect Service / Non-Investment Letting(s),F,2000,,"2010, 2016, 2019, 2021",291200,,2022,1050.884157,4,Low
"Bristol, City of",7/1/2022,949,House/Houses,St Bernadettes RC VA Primary School House,St Bernadettes RC VA Primary School House 17 Gladstone Road Hengrove Bristol BS14 9LP,17,Gladstone Road,Bristol,BS14 9LP,Hengrove & Whitchurch Park,360909,168735,Education Acts Agt,,Building(S) Only,222,0.045447,Yes,Direct Service,,,,"2010, 2014, 2016, 2020, 2021, 2024",,,2022,0,6,Unknown
