Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",2/2/2024,1931,Land-Industrial,Albert Crescent - Land At,Albert Crescent - Land At St Philips Bristol,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360475,172230,Freehold,,Land only,,0.141707,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1941,Land-Car/Lorry Park,Brislington Park And Ride Site,Brislington Park And Ride Site Bath Road Brislington Bristol BS14 5LR,,Stockwood Road,Bristol,BS14 5LR,Brislington West,362757,170016,Freehold,,Land and Building(s),147,5.270843,Yes,Direct Service
"Bristol, City of",2/2/2024,1990,Offices,Castlemead,Castlemead Lower Castle Street City Centre Bristol BS1 3AG,,Lower Castle Street,Bristol,BS1 3AG,Central,359427,173277,Freehold,,Land and Building(s),13500,0.165689,,Investment Properties
"Bristol, City of",2/2/2024,116289,Offices,Fishponds Health Centre,Fishponds Health Centre Beechwood Road Fishponds Bristol BS16 3TD,,Beechwood Road,Bristol,BS16 3TD,Frome Vale,363511,175802,Informal Agreement,,Building(s) only,,0.000313,Yes,Direct Service
"Bristol, City of",2/2/2024,10315,Industrial/Workshop,Big Yellow Self Storage,Big Yellow Self Storage Barrow Road Barton Hill Bristol BS5 0AE,,Barrow Road,Bristol,BS5 0AE,Lawrence Hill,360524,173023,Freehold,,Land and Building(s),,0.600489,,Investment Properties
"Bristol, City of",2/2/2024,1885,Land-Car/Lorry Park,Queens Parade - St George C Of E VC Staff Car Park,Queens Parade - St George C Of E VC Staff Car Park Queens Parade Brandon Hill Bristol BS1 5XJ,,,,BS1 5XJ,Hotwells & Harbourside,357933,172638,Freehold,,Land only,,0.011963,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1898,Primary School,St George C Of E VC Primary School Annexe,St George C Of E VC Primary School Annexe York Place City Centre Bristol BS1 5UT,,Queens Parade,Bristol,BS1 5UT,Hotwells & Harbourside,358040,172694,Education Acts Agt,,Building(s) only,,0,Yes,Direct Service
"Bristol, City of",2/2/2024,84098,Day Nursery,Thicket Avenue - Community Nursery,Thicket Avenue - Community Nursery Thicket Avenue Fishponds Bristol BS16 4EH,,Thicket Avenue,Bristol,BS16 4EH,Hillfields,364000,175225,Freehold,,Land only,,0.092959,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1007,Childrens Homes,2 Witch Hazel Road,2 Witch Hazel Road Hartcliffe Bristol BS13 0QE,2,Witch Hazel Road,Bristol,BS13 0QE,Hengrove & Whitchurch Park,359212,167321,Freehold,,Land and Building(s),234,0.069034,Yes,Direct Service
"Bristol, City of",2/2/2024,1008,Primary School,Bridge Farm Primary School,Bridge Farm Primary School East Dundry Road Whitchurch Bristol BS14 0LL,,East Dundry Road,Bristol,BS14 0LL,Hengrove & Whitchurch Park,360395,167559,Freehold Reversion,,Land and Building(s),3582.7,2.336011,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,936,Youth Club/Centre,Hartcliffe Club For Young People,Hartcliffe Club For Young People Gatehouse Avenue Hartcliffe Bristol BS13 9AE,,Gatehouse Avenue,Bristol,BS13 9AE,Hartcliffe & Withywood,357459,168180,Leasehold,,Building(s) only,158.6,0.21672,,Indirect Service / Non-Investment Letting(s)
