Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,10315,Industrial/Workshop,Big Yellow Self Storage,Big Yellow Self Storage Barrow Road Barton Hill Bristol BS5 0AE,,Barrow Road,Bristol,BS5 0AE,Lawrence Hill,360524.0,173023.0,Freehold,,Land and Building(s),,0.587545,,Investment Properties,,,"Storage Space, Security System","2016, 2020, 2021, 2025",,
"Bristol, City of",7/1/2022,1990,Offices,Castlemead,Castlemead Lower Castle Street City Centre Bristol BS1 3AG,,Lower Castle Street,Bristol,BS1 3AG,Central,359427.0,173277.0,Freehold,,Land and Building(s),13500.0,0.165689,,Investment Properties,C,1400.0,"Meeting Rooms, Modern Kitchen","2010, 2011, 2012, 2015, 2016, 2021",3749001.48,
"Bristol, City of",7/1/2022,116289,Offices,Fishponds Health Centre,Fishponds Health Centre Beechwood Road Fishponds Bristol BS16 3TD,,Beechwood Road,Bristol,BS16 3TD,Frome Vale,363511.0,175802.0,Informal Agreement,,Building(s) only,,0.000313,Yes,Direct Service,,,"Meeting Rooms, Modern Kitchen","2012, 2013, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,1931,Land-Industrial,Albert Crescent - Land At,Albert Crescent - Land At St Philips Bristol,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360475.0,172230.0,Freehold,,Land only,,0.141707,,Indirect Service / Non-Investment Letting(s),,,"Development Potential, Open Land","2015, 2016, 2019, 2021, 2022",,
"Bristol, City of",7/1/2022,1941,Land-Car/Lorry Park,Brislington Park And Ride Site,Brislington Park And Ride Site Bath Road Brislington Bristol BS14 5LR,,Stockwood Road,Bristol,BS4 5ZZ,Brislington West,362757.0,170016.0,Freehold,,Land and Building(s),147.0,5.270843,Yes,Direct Service,G,2200.0,,"2011, 2014, 2016, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,1898,Primary School,St George C Of E VC Primary School Annexe,St George C Of E VC Primary School Annexe York Place City Centre Bristol BS1 5UT,,Queens Parade,Bristol,BS1 5XH,Hotwells & Harbourside,358040.0,172694.0,Education Acts Agt,,Building(s) only,,0.0,Yes,Direct Service,,,,"2010, 2016, 2018, 2020, 2021",,
"Bristol, City of",7/1/2022,84098,Day Nursery,Thicket Avenue - Community Nursery,Thicket Avenue - Community Nursery Thicket Avenue Fishponds Bristol BS16 4EH,,Thicket Avenue,Bristol,BS16 4EH,Hillfields,364000.0,175225.0,Freehold,,Land only,,0.092959,,Indirect Service / Non-Investment Letting(s),,,,"2015, 2016, 2017, 2021, 2022, 2023",,
"Bristol, City of",7/1/2022,1007,Childrens Homes,2 Witch Hazel Road,2 Witch Hazel Road Hartcliffe Bristol BS13 0QE,2.0,Witch Hazel Road,Bristol,BS13 0QE,Hengrove & Whitchurch Park,359212.0,167321.0,Freehold,,Land and Building(s),234.0,0.069034,Yes,Direct Service,G,2200.0,,"2011, 2012, 2016, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,1008,Primary School,Bridge Farm Primary School,Bridge Farm Primary School East Dundry Road Whitchurch Bristol BS14 0LL,,East Dundry Road,Bristol,BS14 0LL,Hengrove & Whitchurch Park,360395.0,167559.0,Freehold,,Land and Building(s),3582.7,2.350949,Yes,Direct Service,F,2000.0,,"2010, 2012, 2014, 2016, 2021",840113.41,
"Bristol, City of",7/1/2022,936,Youth Club/Centre,Hartcliffe Club For Young People,Hartcliffe Club For Young People Gatehouse Avenue Hartcliffe Bristol BS13 9AE,,Gatehouse Avenue,Bristol,BS13 9AE,Hartcliffe & Withywood,357459.0,168180.0,Leasehold,,Building(s) only,158.6,0.21672,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2014, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,937,Primary School,St Pius X RC VA Primary School - School Buildings,St Pius X RC VA Primary School - School Buildings Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100.0,168096.0,Education Acts Agt,,Building(s) only,1495.0,0.563277,Yes,Direct Service,F,2000.0,,"2011, 2012, 2016, 2019, 2021, 2024",479618.19,
"Bristol, City of",7/1/2022,938,House/Houses,St Pius X RC VA Primary School House,St Pius X RC VA Primary School House Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100.0,168096.0,Education Acts Agt,,Land and Building(s),,0.044093,Yes,Direct Service,,,,"2013, 2016, 2021, 2023, 2025",,
"Bristol, City of",7/1/2022,940,Special School,Whitehouse Centre,Whitehouse Centre Fulford Road Hartcliffe Bristol BS13 9PB,,Fulford Road,Bristol,BS13 9PB,Hartcliffe & Withywood,358105.0,168019.0,Freehold,,Land and Building(s),2076.3,2.556539,,Surplus / Non-operational / Under Review,G,2200.0,,"2012, 2014, 2016, 2021, 2023, 2024",450642.99,
"Bristol, City of",7/1/2022,941,Land-Unused Land,Former Fulford Centre,Former Fulford Centre Fulford Road Hartcliffe Bristol BS13 9PB,,,,BS13 ,Hartcliffe & Withywood,358140.0,168000.0,Freehold,Vacant,Land only,0.0,0.65335,,Surplus / Non-operational / Under Review,E,1800.0,,"2014, 2015, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,945,Community Centre/Facilities,Hengrove Community Centre,Hengrove Community Centre Fortfield Road Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove & Whitchurch Park,360710.0,168749.0,Freehold,,Land and Building(s),428.98,0.151302,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2011, 2016, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,946,Community Centre/Facilities,Fortfield Road - Former Youth Centre Building,Fortfield Road - Former Youth Centre Building Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove & Whitchurch Park,360721.0,168781.0,Freehold,,Land and Building(s),277.1,0.083884,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2016, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,949,House/Houses,St Bernadettes RC VA Primary School House,St Bernadettes RC VA Primary School House 17 Gladstone Road Hengrove Bristol BS14 9LP,17.0,Gladstone Road,Bristol,BS14 9LP,Hengrove & Whitchurch Park,360909.0,168735.0,Education Acts Agt,,Building(s) only,,0.045447,Yes,Direct Service,,,,"2010, 2014, 2016, 2020, 2021, 2024",,
"Bristol, City of",7/1/2022,950,House Service Occupancy,St Bernadettes RC SA Secondary School House,St Bernadettes RC SA Secondary School House Fossedale Avenue Hengrove Bristol BS14 9LS,,Fossedale Avenue,Bristol,BS14 9LS,Hengrove & Whitchurch Park,360969.0,168732.0,Freehold,,Land and Building(s),,0.0488,Yes,Direct Service,,,,"2013, 2016, 2018, 2020, 2021, 2022",,
